query,title,url,channel,channel_url,upload_date,duration,view_count,like_count,comment_count,thumbnail,description,tags,age_days,views_per_day,likes_per_1000,comments_per_1000,detected_themes,viral_score,opportunity_class
channel:input_urls.txt,O SENHOR RENOVA AS SUAS FORÇAS🙏 Os Melhores Louvores Country Gospel Relaxantes 2026 🌾 Acalma a Alma,https://www.youtube.com/watch?v=dCo2VuotCvM,Raizes da Fé Country ,,,2887,38000,0,0,https://i.ytimg.com/vi/dCo2VuotCvM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgYPDlQXwW2UtjvqtjVqVQRkQTFA,,,365.0,104.11,0.0,0.0,sono / playlist longa,13.45,referência fraca
channel:input_urls.txt,A GRAÇA DO SENHOR ME SUSTENTA | Os Melhores Louvores Country Gospel Relaxantes 2026 🌾 Acalma a Alma,https://www.youtube.com/watch?v=nzTVZByxDuA,Raizes da Fé Country ,,,3972,24000,0,0,https://i.ytimg.com/vi/nzTVZByxDuA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOGSzkf9tdsesg3KviwgFb3MCIXg,,,365.0,65.75,0.0,0.0,"perdão e graça, sono / playlist longa",12.75,referência fraca
channel:input_urls.txt,DEUS ME FAZ VENCER | Os Melhores Louvores Country Gospel Relaxantes 2026 🌾 Para Fortalecer a Fé,https://www.youtube.com/watch?v=Rd8KRaNEqPQ,Raizes da Fé Country ,,,3482,16000,0,0,https://i.ytimg.com/vi/Rd8KRaNEqPQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCxjlIJy1XQ0WQ6hX1BdouXgbBmOg,,,365.0,43.84,0.0,0.0,sono / playlist longa,12.17,referência fraca
channel:input_urls.txt,DEUS VAI NA MINHA FRENTE | Os Melhores Louvores Country Gospel Relaxantes 2026 🌾 Paz Para o Coração,https://www.youtube.com/watch?v=Qe2BTqJzdsE,Raizes da Fé Country ,,,3201,8300,0,0,https://i.ytimg.com/vi/Qe2BTqJzdsE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBa9eaWpzFtN8KaiSBugol2kKjI5g,,,365.0,22.74,0.0,0.0,"oração de madrugada, sono / playlist longa",11.28,referência fraca
channel:input_urls.txt,O AMANHÃ PERTENCE AO SENHOR | Os Melhores Louvores Country Gospel Relaxantes 2026 🌾 Paz Para a Alma,https://www.youtube.com/watch?v=VP26FTBpA6g,Raizes da Fé Country ,,,2980,6800,0,0,https://i.ytimg.com/vi/VP26FTBpA6g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDfiJg7JR2R69BJw3sg2RnfRIMZHg,,,365.0,18.63,0.0,0.0,sono / playlist longa,11.02,referência fraca
channel:input_urls.txt,DEUS VAI TRANSFORMAR A SUA VIDA | Os Melhores Louvores Country Gospel Relaxantes 2026🌾Acalma a Alma,https://www.youtube.com/watch?v=PBiO5peNbzI,Raizes da Fé Country ,,,3584,6400,0,0,https://i.ytimg.com/vi/PBiO5peNbzI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqHEA9kxNNXbBrbgMFkCLM-JfDtA,,,365.0,17.53,0.0,0.0,sono / playlist longa,10.94,referência fraca
channel:input_urls.txt,DEUS RENOVA MINHAS FORÇAS | Os Melhores Louvores Country Gospel Relaxantes 2026 🌾Acalma a Alma,https://www.youtube.com/watch?v=wjCl7pxEUWI,Raizes da Fé Country ,,,2618,3900,0,0,https://i.ytimg.com/vi/wjCl7pxEUWI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAI9caiw6-zXI6Vp284obL21MVHXQ,,,365.0,10.68,0.0,0.0,sono / playlist longa,10.3,referência fraca
channel:input_urls.txt,RENOVA A MINHA ESPERANÇA SENHOR | Os Melhores Louvores Country Gospel Relaxantes 2026 | Acalma Alma,https://www.youtube.com/watch?v=IinAR-XwaZ0,Raizes da Fé Country ,,,3353,2800,0,0,https://i.ytimg.com/vi/IinAR-XwaZ0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBn-ryPFd9qlAg4O3aLrvQ5WF2mqA,,,365.0,7.67,0.0,0.0,sono / playlist longa,9.88,referência fraca
channel:input_urls.txt,DEUS CURA MINHA DOR | Os Melhores Louvores Country Gospel Relaxantes 2026 🌾 Paz Para o Coração,https://www.youtube.com/watch?v=lmDfacaKZaA,Raizes da Fé Country ,,,2476,1700,0,0,https://i.ytimg.com/vi/lmDfacaKZaA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbjOF8YbC9VV26DDFq482QHbMGRg,,,365.0,4.66,0.0,0.0,"oração de madrugada, sono / playlist longa",9.25,referência fraca
channel:input_urls.txt,DEUS SEGURA A MINHA MÃO | Os Melhores Louvores Country Gospel Relaxantes 2026 🌾 Acalma a Alma,https://www.youtube.com/watch?v=6VDmjcDJbRs,Raizes da Fé Country ,,,3646,103,0,0,https://i.ytimg.com/vi/6VDmjcDJbRs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAI7UzkXghiOg3uic8G1Be7ArDlDA,,,365.0,0.28,0.0,0.0,sono / playlist longa,5.76,referência fraca
