query,title,url,channel,channel_url,upload_date,duration,view_count,like_count,comment_count,thumbnail,description,tags,age_days,views_per_day,likes_per_1000,comments_per_1000,detected_themes,viral_score,opportunity_class
channel:input_urls.txt,DEUS CONHECE SUA DOR 🙏  1H55 :Os Melhores Louvores Country Gospel Para Acalmar o Coração,https://www.youtube.com/watch?v=plbPFjRYeq0,Country Blues e Fé,,,6889,8100,0,0,https://i.ytimg.com/vi/plbPFjRYeq0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAanBWW0Zj3oAv3B9-CkTzLsZWxw,,,365.0,22.19,0.0,0.0,"oração de madrugada, sono / playlist longa",11.24,referência fraca
channel:input_urls.txt,DEUS CONHECE SUA DOR 🙏 1H10 Os Melhores Louvores Country Gospel Blues Para Acalmar o Coração,https://www.youtube.com/watch?v=OSMLf-XCAC4,Country Blues e Fé,,,4344,1800,0,0,https://i.ytimg.com/vi/OSMLf-XCAC4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCJ7Li3wSeWy-tegJQQ4w4bits4sw,,,365.0,4.93,0.0,0.0,"oração de madrugada, sono / playlist longa",9.32,referência fraca
channel:input_urls.txt,SERTANEJO GOSPEL RAIZ 2026 🙏 10 Louvores Country Blues que Tocam a Alma | Playlist Completa,https://www.youtube.com/watch?v=uACQuTN8B2I,Country Blues e Fé,,,2189,1800,0,0,https://i.ytimg.com/vi/uACQuTN8B2I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQPqoN39T8g9lfUD0_k17Ke1JyaQ,,,365.0,4.93,0.0,0.0,sono / playlist longa,9.32,referência fraca
channel:input_urls.txt,DEUS VAI RENOVAR SUAS FORÇAS 🙏 | Os Melhores Louvores Country Gospel Para Acalmar o Coração,https://www.youtube.com/watch?v=RgZmN_kBclA,Country Blues e Fé,,,3971,1400,0,0,https://i.ytimg.com/vi/RgZmN_kBclA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATS3DdbO52LluyF3PG0ywOcZfnDA,,,365.0,3.84,0.0,0.0,"oração de madrugada, sono / playlist longa",9.0,referência fraca
channel:input_urls.txt,"🙏 SE O SEU CORAÇÃO ESTÁ CANSADO, OUÇA ISSO 🙏 | 1H55 de Country Gospel Blues Para Renovar Sua Fé",https://www.youtube.com/watch?v=BDGEgC8S9Sw,Country Blues e Fé,,,3963,1200,0,0,https://i.ytimg.com/vi/BDGEgC8S9Sw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCp4v0avENzQ77WLDYJuFkLkEefjw,,,365.0,3.29,0.0,0.0,oração de madrugada,8.81,referência fraca
channel:input_urls.txt,DEUS CONHECE SUA DOR 🙏 Os Melhores Louvores Gospel Blues Para Acalmar Sua Alma,https://www.youtube.com/watch?v=1CkcUDUW2k8,Country Blues e Fé,,,6213,1100,0,0,https://i.ytimg.com/vi/1CkcUDUW2k8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtlaVCESHVkIKAobFgVK-UqpLirA,,,365.0,3.01,0.0,0.0,sono / playlist longa,8.7,referência fraca
channel:input_urls.txt,🙏 LOUVORES QUE TOCAM O CORAÇÃO | 1 Hora e 10 Minutos de Sertanejo Country Gospel,https://www.youtube.com/watch?v=WVSoKREHnZo,Country Blues e Fé,,,4149,454,0,0,https://i.ytimg.com/vi/WVSoKREHnZo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVlapxxQrBJSglwAR9D72NUcC6dg,,,365.0,1.24,0.0,0.0,oração de madrugada,7.6,referência fraca
channel:input_urls.txt,🙏 DEUS CONHECE SUA DOR | Os Melhores Louvores Country Gospel Para Acalmar o Coração (1 Hora),https://www.youtube.com/watch?v=xd7DlB8Kea8,Country Blues e Fé,,,4010,364,0,0,https://i.ytimg.com/vi/xd7DlB8Kea8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7JWqytITnpTWYlzv8aMqpbNaDMA,,,365.0,1.0,0.0,0.0,"oração de madrugada, sono / playlist longa",7.32,referência fraca
channel:input_urls.txt,"Country Gospel Para Quem Precisa de Força | 1 Hora e 25 Min de Fé, Oração e Recomeço",https://www.youtube.com/watch?v=DJOE8FwSlHs,Country Blues e Fé,,,5042,348,0,0,https://i.ytimg.com/vi/DJOE8FwSlHs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGp15Zh9xJg7Ue3Dqed1XUOclF6w,,,365.0,0.95,0.0,0.0,"oração de madrugada, estrada e recomeço",7.27,referência fraca
channel:input_urls.txt,🌾 Country Gospel Para Quem Precisa de Paz | Os Melhores Louvores Country Gospel Relaxantes 2026,https://www.youtube.com/watch?v=O0jOkV8B8_Q,Country Blues e Fé,,,3030,306,0,0,https://i.ytimg.com/vi/O0jOkV8B8_Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCopgg9EF7BbdFkqiEgEW2zrxe1HA,,,365.0,0.84,0.0,0.0,sono / playlist longa,7.11,referência fraca
channel:input_urls.txt,🙏 MINHA DOR VIROU LOUVOR | Country Blues Gospel Que Vai Tocar Seu Coração,https://www.youtube.com/watch?v=cViiEC8j1S8,Country Blues e Fé,,,260,264,0,0,https://i.ytimg.com/vi/cViiEC8j1S8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUYdFK5NS3WrZicuME8AYeacW2xw,,,365.0,0.72,0.0,0.0,oração de madrugada,6.93,referência fraca
